,TF,index
0,NFXL1,2
1,AFF4,4
2,PRDM4,5
3,RAD51,9
4,CTR9,14
5,TAF12,18
6,RAI14,27
7,SPI1,31
8,CSRP3,33
9,DCP1A,35
10,RB1,39
11,APBB1,42
12,NR4A1,43
13,SRSF1,47
14,FOS,49
15,HDAC11,53
16,ZFP467,57
17,EGR1,58
18,DEK,61
19,MCM5,63
20,KLF6,64
21,RNF4,68
22,PRDM16,73
23,PRDM5,74
24,POLR3F,75
25,SMARCA2,76
26,XRCC5,80
27,EYA1,81
28,XPC,82
29,XRCC6,83
30,SLA2,84
31,SMAD2,85
32,ELP3,90
33,ZZZ3,94
34,FOXO1,96
35,H1F0,97
36,CNOT7,99
37,HLF,101
38,ABTB1,108
39,TLE2,112
40,ZKSCAN6,114
41,NFIA,120
42,ID2,122
43,IKZF1,123
44,RORC,125
45,NOTCH1,127
46,MCM6,139
47,TSHZ3,142
48,TEAD2,143
49,HIST1H1C,145
50,ZFP110,148
51,POLR1B,149
52,PLAG1,153
53,TCF19,166
54,BATF2,172
55,ZSCAN21,182
56,REL,188
57,JUN,189
58,JARID2,192
59,LMO4,193
60,NR3C2,196
61,NFATC2,203
62,ORC2,216
63,GFI1,220
64,ELF4,222
65,IKZF2,223
66,HDAC9,226
67,AHR,228
68,XRCC3,234
69,BTAF1,235
70,MEF2C,240
71,NFATC1,242
72,HDAC2,251
73,TOX4,256
74,SATB1,259
75,NFKBIA,265
76,MCM3,266
77,RORA,273
78,ELL2,275
79,HDAC10,277
80,TAF1,280
81,TRIB3,283
82,VDR,291
83,SOX6,294
84,MAPK1,295
85,MXD3,299
86,PHF10,301
87,GTF2F1,306
88,WDR5,308
89,HDGF,311
90,ABL1,312
91,HNRNPAB,315
92,EYA2,316
93,TSC22D3,317
94,EPAS1,318
95,MED16,322
96,MYB,330
97,IRF5,331
98,CENPK,333
99,MEIS1,342
100,EBF1,343
101,ZBTB20,345
102,NUPR1,357
103,IRF6,359
104,NCOA6,367
105,SP4,372
106,ZFP30,374
107,XAB2,378
108,GTF2H1,379
109,HCFC1,381
110,MAPK12,382
111,PHB2,386
112,ESR1,390
113,BTG2,393
114,TLR4,394
115,TTF1,397
116,MIS18BP1,400
117,MECOM,406
118,RUNX1T1,408
119,HMGB2,416
120,GLIS2,417
121,CREB5,418
122,HDAC7,419
123,TEAD3,422
124,ZKSCAN17,425
125,NFAT5,426
126,DDX20,432
127,TTF2,433
128,NRF1,437
129,TOPORS,438
130,RARB,441
131,TRPS1,447
132,PGR,450
133,ZBTB43,453
134,E2F6,456
135,HCLS1,463
136,ZFP143,464
137,NFE2,466
138,DDX58,467
139,SALL2,470
140,HNF4A,472
141,NR2C1,473
142,MYCN,475
143,RUNX2,478
144,MCM2,481
145,RELB,483
146,IRF8,485
147,KLF3,487
148,ETS1,488
149,REXO4,489
150,PA2G4,495
151,ZEB2,498
152,SNAPC3,499
153,RNF19A,500
154,THRB,507
155,ZBTB10,509
156,GATA1,518
157,POLR2B,519
158,GATA2,523
159,YBX1,525
160,ZFP36,528
161,BMI1,534
162,NFE2L2,537
163,MCM7,538
164,CITED4,544
165,ELP2,557
166,MYC,559
167,ERCC8,562
168,LZTS1,563
169,SNRPB,565
170,GTF3C3,570
171,GFI1B,574
172,CBX7,583
173,BUB3,584
174,NDN,589
175,PPARGC1A,596
176,EPOR,599
177,CBFB,601
178,MAPK9,602
179,IFI204,606
180,BLZF1,610
181,AHCTF1,613
182,PML,615
183,GTF2E1,620
184,ZDHHC6,628
185,RUVBL2,629
186,PWP1,638
187,E2F8,641
188,MCM4,645
189,MYNN,648
190,HOXA9,651
191,PBX1,652
192,ZDHHC13,655
193,ZFP275,656
194,ZFP592,657
195,STAT3,658
196,TCF12,671
197,E2F4,672
198,IRF1,674
199,FEM1B,675
200,SPO11,676
201,VHL,680
202,SOX18,691
203,KLF1,693
204,ARID3B,703
