,TF,index
0,KLF15,0
1,SMARCB1,1
2,DDX54,2
3,RAD51,3
4,SMARCC2,4
5,PMS1,8
6,PLRG1,12
7,GLI2,15
8,ANKRD54,16
9,PROX1,17
10,TAF1A,19
11,PATZ1,20
12,SRF,21
13,COPS2,23
14,BRPF1,24
15,TCF7,30
16,NFATC2IP,31
17,SIN3A,32
18,RBM14,33
19,POLR2E,34
20,TADA3,35
21,GBX2,36
22,MAFK,39
23,SRSF6,40
24,MEF2D,41
25,FOXA2,42
26,HSBP1,43
27,SMARCC1,44
28,DNMT1,45
29,JDP2,46
30,NFATC3,49
31,ZDHHC15,50
32,TIMELESS,53
33,BMP4,54
34,PHF14,55
35,TRP53,56
36,DTX1,57
37,SMARCA4,59
38,KLF4,62
39,HDAC1,64
40,ELF2,66
41,DNAJC2,67
42,SUZ12,68
43,STAT4,70
44,DEK,71
45,ZFP335,72
46,ZFAND3,73
47,EGR1,75
48,ING3,76
49,SIN3B,81
50,ANKRD49,84
51,TFEB,85
52,POU4F2,86
53,TLE1,89
54,CUX2,90
55,SUB1,91
56,NR3C1,92
57,TGIF1,95
58,CBX8,98
59,BTAF1,99
60,PAX1,101
61,ARL6IP5,102
62,FOSL2,103
63,NFKB2,108
64,ARNTL,111
65,ZFP446,112
66,ZFP148,113
67,SERTAD2,116
68,TWIST1,117
69,KLF13,118
70,ILK,120
71,MBD2,124
72,HSPB1,125
73,CNOT8,127
74,IRF4,128
75,NPAS2,129
76,SOX7,131
77,TRRAP,132
78,SMARCD1,135
79,ARID1A,136
80,NDN,137
81,EMX2,142
82,ILF2,146
83,RAD54B,148
84,ELL3,150
85,MPHOSPH8,151
86,GTF3C5,153
87,HEY2,154
88,SMARCA2,155
89,SMARCA5,157
90,BTBD11,158
91,CBX6,159
92,PHF2,160
93,ZBTB10,161
94,MLXIP,164
95,HIF1A,165
96,TFE3,166
97,CRABP2,167
98,ILF3,168
99,EHMT2,170
100,SMAD3,172
101,ATF7,173
102,HMGB2,174
103,MEIS1,175
104,CTBP1,177
105,RCOR2,182
106,HIST1H2BB,186
107,NR1D1,188
108,RBL1,191
109,MED4,193
110,ARID5B,194
111,TET2,195
112,CDC5L,196
113,CTNNB1,197
114,RBMX,198
115,PHF12,199
116,ZFP768,200
117,TAF6L,201
118,ZFP398,204
119,SMURF1,205
120,ZFP462,206
121,HES6,207
122,TAF1,210
123,FXR2,213
124,ZFP276,217
125,SP1,219
126,HMGXB4,220
127,ZFP592,221
128,TOPORS,225
129,E2F2,228
130,HCFC1,229
131,INTS12,231
132,PELP1,234
133,MKX,235
134,MLLT1,236
135,HNF1B,239
136,DCP1A,242
137,PCBP2,246
138,PER1,250
139,SMAD7,252
140,PITX2,257
141,NFE2L2,258
142,CNOT2,259
143,MAML1,261
144,CHD4,263
145,CREB3,265
146,TAF10,266
147,HEXIM1,267
148,PIAS3,271
149,BTG1,273
150,UBP1,274
151,RFX7,276
152,NFX1,277
153,NME2,278
154,NOTCH4,279
155,E2F4,280
156,HSF2,281
157,PURA,282
158,ANKS1,283
159,PDCD11,286
160,ELF4,287
161,GATAD2B,288
162,CNOT7,290
163,PRDM14,291
164,TCF20,293
165,TRIM24,296
166,TBPL1,298
167,H1F0,299
168,COIL,300
169,LMO4,303
170,TRIM25,304
171,LDB1,308
172,AKT1,311
173,TFAP2C,313
174,TBL1X,315
175,BCL3,316
176,BTG2,317
177,HSF2BP,318
178,TFAP4,320
179,TRIP11,323
180,GZF1,325
181,NKRF,326
182,MAPK13,327
183,ABT1,329
184,BIN1,330
185,MYC,332
186,ATF3,333
187,NFATC4,335
188,ZFP57,337
189,MED31,340
190,ELF3,343
191,CREB3L2,344
192,ESPL1,346
193,NUPR1,348
194,DDB2,349
195,ZFHX3,351
196,TFCP2L1,355
197,MED12,357
198,ZBTB38,358
199,RNF2,359
200,IRF1,360
201,AATF,361
202,BRCA1,363
203,SALL4,364
204,TULP3,366
205,USF1,367
206,NFKBIA,372
207,TCF7L2,373
208,MAPK11,374
209,ZHX3,376
210,TEAD1,377
211,TEAD3,378
212,REST,380
213,PRRX2,381
214,CITED1,382
215,ELF1,383
216,ERCC3,384
217,ESRRB,385
218,RYBP,387
219,TSG101,389
220,XRCC6,394
221,DPPA2,395
222,SOX2,396
223,ZBTB24,398
224,HDAC11,399
225,MEF2A,400
226,MTF2,402
227,MCM5,403
228,EBF1,405
229,HNF4A,406
230,ZFP423,408
231,DAXX,410
232,SATB2,412
233,ARNT2,413
234,CELF3,414
235,PML,417
236,JUND,420
237,DR1,422
238,CRAMP1L,426
239,RFX2,427
240,RBBP4,428
241,PREB,430
242,CNOT3,431
243,NR4A1,433
244,SALL1,436
245,KDM5B,437
246,WBP11,438
247,TGFB1,439
248,JARID2,440
249,POLR1E,442
250,SSBP4,443
251,YEATS4,444
252,TTF2,445
253,RNF14,447
254,LHX2,449
255,RNF6,450
256,TOP2B,451
257,KLF8,452
258,GTF3C1,453
259,ZFP281,454
260,CENPB,456
261,RELA,457
262,IKBKB,458
263,ETV1,459
264,MTA3,461
265,NSD1,464
266,RUVBL2,466
267,RFX5,467
268,CBX4,468
269,POLR2K,469
270,POLR3B,470
271,POLR3D,473
272,PARP1,477
273,ZFPM1,478
274,EPAS1,479
275,CHD5,480
276,MDM2,481
277,KLF9,482
278,CTNNBL1,483
279,CNOT6,487
280,NOTCH1,489
281,HDAC5,490
282,NFXL1,494
283,YAF2,495
284,ATF4,500
285,ING1,502
286,TCF4,504
287,ZFP91,505
288,VEZF1,506
289,MAZ,507
290,CHD7,510
291,SIX5,511
292,KPNA2,512
293,CBX7,513
294,XAB2,514
295,SNAI1,515
296,RUNX3,516
297,MCM7,520
298,GRHL1,522
299,DDX5,523
300,HMGXB3,524
301,ID2,525
302,TAF6,526
303,ZBTB32,527
304,HOXD13,528
305,NONO,529
306,FHL2,530
307,GTF2I,531
308,IRF3,532
309,EYA1,534
310,GATA6,535
311,PBX4,537
312,SIRT1,539
313,ATF5,540
314,ASH1L,541
315,ZDHHC16,545
316,PHF20,552
317,TNFAIP3,553
318,HIST1H1D,555
319,SOX4,556
320,ZSWIM4,557
321,SIRT2,564
322,SND1,565
323,PCBD1,566
324,GTF2H3,567
325,ZFP277,568
326,MAML3,569
327,SRSF1,570
328,NRF1,572
329,NFIC,574
330,EP300,575
331,DDX20,577
332,NCOR1,578
333,MED15,581
334,UBTF,585
335,NAA15,587
336,PLAGL2,588
337,ZFP236,589
338,KHDRBS1,590
339,CNOT6L,595
340,RFXAP,596
341,ZFP296,598
342,SPEN,600
343,BARX1,602
344,OVOL1,603
345,HMGA1,605
346,BAZ1A,611
347,NR2F2,612
348,HDGF,614
349,POLR1C,616
350,NR2F6,617
351,HES1,618
352,NR5A2,619
353,SMURF2,620
354,HMGA2,621
355,BMP6,622
356,ZBTB39,623
357,PAX8,625
358,MAPK3,626
359,CTNNBIP1,627
360,FUS,629
361,PBXIP1,630
362,CCND1,631
363,ATF2,633
364,DDB1,634
365,CRY1,637
366,GTF2H4,638
367,EOMES,640
368,NFIA,642
369,CREBZF,644
370,FOXP1,646
371,NOTCH2,647
372,FOXJ3,648
373,NR1D2,656
374,TRIP6,661
375,TMF1,663
376,EZH2,664
377,NR1H2,665
378,GABBR1,666
379,MITF,667
380,ZFP42,670
381,POLR3F,673
382,NFYB,674
383,MATR3,677
384,PHB2,678
385,ZBTB3,679
386,HDAC2,681
387,POU6F1,682
388,PKNOX2,687
389,ETS1,689
390,KLF3,690
391,GRIN1,694
392,TOX3,696
393,SOX15,697
394,ETV5,698
395,NR2C1,699
396,NFIL3,700
397,RBBP7,701
398,PAX6,702
399,ELAVL2,709
400,MCM3,712
401,BARD1,714
402,KAT2B,715
403,MSX2,716
404,ABTB1,718
405,SRRT,720
406,TRPS1,722
407,ERCC8,724
408,HNRNPAB,725
409,PEG3,726
410,IRF2,728
411,ELK1,737
412,EZH1,739
413,POLR2I,742
414,POLR1B,746
415,YEATS2,747
416,RB1,749
417,MYBBP1A,750
418,ATF6,751
419,ZBTB43,753
420,PHC1,754
421,CALCOCO1,755
422,XBP1,756
423,SOX17,758
424,UTF1,759
425,HNRNPK,761
426,MYBL2,762
427,TCF12,763
428,PRDM1,764
429,KLF6,765
430,ANKRD6,766
431,HIVEP2,768
432,AIRE,769
433,TBX3,771
434,MLXIPL,773
435,SFPQ,774
436,HIF3A,776
437,MAPK8,778
438,TAX1BP3,780
439,BMI1,782
440,DIDO1,784
441,ECD,786
442,JMJD1C,788
443,ATM,790
444,SNAPC3,791
445,PSIP1,792
446,GABPA,793
447,KLF2,794
448,TRIM32,795
449,DPPA4,796
450,MEN1,800
451,TAF5,803
452,NFE2L1,808
453,CIC,809
454,SIRT3,810
455,ESRRA,812
456,MCM4,818
457,KNTC1,820
458,MIS18BP1,822
459,FOXO1,824
460,YBX1,825
461,TSHZ3,826
462,RAI14,827
463,PAWR,828
464,ZFP275,829
465,PAPOLA,830
466,TBX18,833
467,GLI1,834
468,BRWD1,836
469,POLR1A,839
470,RARG,840
471,OTX2,842
472,RBMXL2,845
473,MXD4,846
474,TRIM13,847
475,FXR1,848
476,PHF1,849
477,HDAC10,852
478,PITX1,854
479,STAT5A,857
480,WWTR1,858
481,HNRNPD,860
482,FOXQ1,861
483,EWSR1,867
484,SAP30,868
485,MCM2,869
486,NRIP1,870
487,NANOG,877
488,JUN,878
489,EED,882
490,AIP,888
491,ZMYND11,894
492,BRD7,895
493,HTT,897
494,ETV4,901
495,RLIM,905
496,GLIS2,909
497,CSF1,910
498,DDIT3,914
499,MED21,915
500,FOXD3,918
501,ZSCAN10,919
502,KEAP1,922
503,AES,923
504,SCMH1,924
505,ETV3,925
506,ORC2,926
507,ZIC3,927
508,TRIB3,929
509,KRBA1,930
510,CTCF,931
511,NFYA,932
512,AGAP3,933
513,SMAD4,934
514,RIF1,935
515,NACC1,938
516,CREB5,940
517,SSB,941
518,E2F6,942
519,RNF19A,943
520,SATB1,944
521,SP8,947
522,DMRT1,950
523,FOXO3,952
524,DAB2,954
525,FOXH1,956
526,RHOX6,957
527,BACH2,959
528,MSC,962
529,MCM6,963
530,L3MBTL2,964
531,TEAD4,965
532,CITED2,967
533,RBFOX2,968
534,XRCC5,969
535,IRF6,970
536,POLR2J,971
537,POU2F1,973
538,ASXL1,974
539,ID3,977
540,KANK2,978
541,SOS2,979
542,POU4F1,981
543,POU5F1,983
544,APBB1,984
545,ZFP36L1,987
546,SREBF1,988
547,PIAS2,989
548,ZBTB20,993
