,TF,index
0,GATA6,2
1,THRB,10
2,ETV4,12
3,MLXIPL,13
4,POLR2K,19
5,TCEB2,20
6,CREB1,21
7,NFATC2,22
8,ZSCAN21,23
9,KHDRBS1,25
10,GTF3C5,27
11,TCF25,30
12,SSB,40
13,PWP1,42
14,TAF5,44
15,MCRS1,46
16,MAZ,52
17,BCOR,55
18,EOMES,60
19,BCL11B,67
20,MAF,70
21,CREB3L2,75
22,BIN1,76
23,AATF,77
24,HDAC2,78
25,CREB3L4,80
26,POLR2B,85
27,TCF4,86
28,POLR1C,92
29,PCGF6,94
30,ZNF146,95
31,PMS1,96
32,SALL4,100
33,TEAD4,108
34,PTMA,110
35,BCL11A,111
36,DDX5,117
37,TNFAIP3,121
38,ASXL1,124
39,SMAD3,126
40,ZFP42,135
41,TAF11,138
42,POU5F1,139
43,EGR1,149
44,ANKRD1,150
45,TFDP2,153
46,BRCA2,155
47,XBP1,157
48,HIPK2,159
49,XRCC6,161
50,GATA5,162
51,MED4,164
52,CHD8,171
53,PDCD11,175
54,MIS18BP1,177
55,CBX3,179
56,NR5A2,183
57,RNF2,185
58,CENPK,187
59,BPTF,192
60,EED,200
61,MYCN,201
62,SRSF2,203
63,JUN,204
64,CNOT7,210
65,PAPOLA,212
66,GLI2,214
67,NEIL2,217
68,MCM4,220
69,POLR1B,222
70,TAF9B,227
71,SP4,228
72,YBX1,234
73,AEBP2,236
74,SSBP2,242
75,TAF1B,243
76,NFYB,244
77,IRF9,245
78,HMGB2,248
79,HMGA1,254
80,ZNF143,255
81,SMARCD2,257
82,PTRF,258
83,ID2,259
84,AES,260
85,ZNF232,262
86,MCM6,266
87,OTX2,267
88,POLR3D,271
89,NSD1,272
90,MED30,273
91,ZBTB3,276
92,TRIP13,278
93,MED21,279
94,JARID2,281
95,FHL2,286
96,RBBP7,288
97,ZIC2,293
98,DRAP1,295
99,TFE3,296
100,SRF,297
101,MEIS3,298
102,HNRNPAB,299
103,SMARCA4,300
104,DDX54,301
105,RBM39,315
106,AEBP1,317
107,STAT2,318
108,E2F4,319
109,GMEB1,320
110,RBPJ,324
111,GTF2H2,333
112,ZNF33A,339
113,NR3C1,343
114,PDGFA,344
115,YEATS4,348
116,BTG1,349
117,MYC,351
118,TOPORS,352
119,EGFR,355
120,TBX3,356
121,SALL2,359
122,FOXA2,360
123,ZNF208,363
124,POLR2G,370
125,TCEB3,371
126,KLF5,374
127,BTF3,375
128,RFXANK,376
129,JAZF1,378
130,HIST1H1B,381
131,SNRPB,382
132,MYBBP1A,386
133,BMPR1A,390
134,GTF2E1,392
135,HIF3A,395
136,NR1I3,396
137,FOXA1,400
138,NR2F2,401
139,TFDP1,403
140,MCM3,404
141,ZNRD1,412
142,CNBP,417
143,ZNF397,421
144,ZNF287,423
145,ELF1,425
146,HCFC1,427
147,HNRNPUL1,437
148,TCEA1,445
149,ZNF91,446
150,ENO1,447
151,GTF3C4,449
152,SSRP1,455
153,RFC1,457
154,SERTAD3,458
155,HNF1B,459
156,SRRM1,469
157,NUPR1,472
158,DEK,476
159,ZNF589,479
160,ZNF160,482
161,ZNF670,489
162,GATA4,490
163,GTF2H3,493
164,NONO,501
165,TAF7,502
166,FOXM1,505
167,TARDBP,508
168,TADA3,510
169,PIAS3,513
170,POLR3E,517
171,LHX1,519
172,MYCBP,524
173,ZNF74,525
174,TFAP2C,533
175,SUV39H2,554
176,SRSF6,558
177,ATF3,559
178,POLR2F,560
179,GRHL1,562
180,NFKBIZ,564
181,PARP1,565
182,CREB3L3,566
183,ZFP36,574
184,ZBTB24,577
185,CHAF1A,579
186,ZNF675,582
187,MCM7,591
188,TIMELESS,601
189,MYBL2,605
190,RAI14,606
191,YAF2,608
192,ZFHX3,610
193,NFIB,611
194,GTF3C2,612
195,CSRP2,616
196,EYA3,624
197,RNPS1,629
198,TRIM22,637
199,ZNHIT3,640
200,TAF6,642
201,FXR1,643
202,SOX2,647
203,TAF1A,648
204,CDKN1A,655
205,F2,670
206,PSIP1,672
207,SNAPC1,674
208,CTDSPL,675
209,EIF5B,682
210,DAXX,684
211,CRABP2,685
212,E2F5,688
213,MXD1,695
214,TEAD2,696
215,DDIT3,697
216,WDR5,698
217,APEX1,702
218,GEMIN2,709
219,THRAP3,713
220,ZFP64,718
221,HTATSF1,722
222,FOXP1,723
223,BTG2,724
224,GATAD2B,725
225,H1F0,728
226,RBMX,734
227,DNMT3B,735
228,ZBTB16,742
229,NRIP1,744
230,EGF,745
231,GLI1,747
232,DAB2,755
233,CEBPD,758
234,ETV5,760
235,TBPL1,761
236,TOP2B,766
237,JUND,770
238,LDB2,772
239,PAX6,778
240,FOSB,788
241,TBL1X,790
242,RAD51,792
243,NCOA1,795
244,EHMT1,798
245,RFX6,801
246,ADNP,805
247,MCM5,808
248,CEBPA,809
249,ARID2,810
250,POLR2I,817
251,RAD54B,818
252,FOSL1,821
253,RUNX1T1,827
254,ZNF217,828
255,CSDE1,834
256,FOXH1,835
257,HNRNPR,838
258,PPARA,840
259,NR2F6,841
260,TCF3,845
261,WBP11,849
262,CDCA7L,859
263,CNTRL,863
264,BRCA1,864
265,ZNF202,867
266,MED14,868
267,BDP1,871
268,SKIL,872
269,TP53,878
270,SSBP3,883
271,DR1,887
272,ZNF239,890
273,PREB,892
274,SRSF1,894
275,DDX20,898
276,SRSF10,901
277,PITX2,902
278,BRIP1,903
279,KAT7,906
280,RUVBL2,910
281,PRDM1,911
282,MTF2,913
283,SUPT16H,914
284,SIRT1,920
285,IRF1,924
286,DNMT1,925
287,MED20,926
288,LIN28A,931
289,E2F7,934
290,DNAJC2,938
291,COPS5,939
292,POLR1D,940
293,PIAS2,944
294,ZNF354A,951
295,PRDM14,952
296,SMAD5,954
297,BMP2,955
298,ZRANB2,956
299,AHR,958
300,TCF19,968
301,PITX1,975
302,ING3,976
303,ABT1,977
304,PEG3,980
305,ZNF644,984
306,ZNF567,985
307,ZNF581,987
308,MAFF,993
309,SMARCC1,994
310,ESPL1,997
311,NCOA6,1000
312,TRIM28,1003
313,NR1H3,1004
314,NME2,1007
315,RNF4,1008
316,TCOF1,1016
317,SEC14L2,1018
318,HINFP,1019
319,PLRG1,1021
320,EHMT2,1026
321,ZNF398,1027
322,JMJD1C,1030
323,THAP1,1031
324,TRERF1,1032
325,NOTCH3,1038
326,ING5,1046
327,CREG1,1047
328,RUVBL1,1048
329,HIF1AN,1051
330,PHB2,1056
331,MEF2C,1058
332,FOSL2,1060
333,FUBP1,1069
334,XRCC5,1070
335,SMAD2,1073
336,REST,1075
337,IRF3,1080
338,KNTC1,1082
339,TGIF2,1086
340,COPS2,1090
341,SP100,1091
342,ID3,1092
343,MCM8,1093
344,SOX11,1094
345,GABPB1,1095
346,HESX1,1096
347,POLR2L,1099
348,AFF4,1103
349,DNMT3A,1104
350,IVNS1ABP,1105
351,PDLIM7,1109
352,EEF1A1,1110
353,SMARCA5,1111
354,MCM2,1115
355,TCERG1,1116
356,ELAVL2,1119
357,EWSR1,1123
358,KLF6,1127
359,SCD5,1132
360,NPM1,1141
361,MATR3,1142
362,PA2G4,1147
363,ZNF638,1153
364,ARID3B,1155
365,TCFL5,1160
366,SIRT2,1170
367,NAA15,1172
368,POLR2D,1173
369,GLIS3,1174
370,ORC2,1186
371,HMGN2,1188
372,TARBP2,1189
373,PLAGL2,1196
374,E2F8,1198
375,NANOG,1203
376,ZIC3,1204
377,ZHX1,1205
378,CXXC1,1211
379,SNRPD1,1213
380,DEDD,1217
381,SMARCE1,1221
382,HNRNPK,1222
383,RBBP4,1225
384,DDB2,1230
385,JAG1,1231
386,CDX2,1232
387,TCEB1,1233
388,TRIM25,1236
389,DOT1L,1237
390,THAP11,1241
391,ETV1,1242
392,EPAS1,1244
393,RARG,1249
394,RREB1,1257
395,HMGN1,1270
396,KLF3,1278
397,HNF4A,1284
398,VEZF1,1285
399,PAWR,1286
400,EZH2,1290
401,HMGXB4,1293
402,SALL3,1295
403,ILF3,1297
404,TGIF1,1304
405,HNRNPD,1305
406,GTF2I,1307
407,ILF2,1310
408,HDAC1,1316
409,TCF7L1,1319
410,ZNF766,1321
411,FOXO1,1325
412,HMGN3,1326
413,HMGA2,1328
414,DPF2,1329
415,PBX1,1336
416,E2F3,1342
417,ZNF227,1343
418,ETS1,1345
419,MAPK1,1349
420,PTTG1,1351
421,SOX4,1353
422,HIST1H1C,1357
423,RFX5,1359
424,ASCC3,1361
425,POLR1E,1364
426,POU2F1,1366
427,KDM4C,1367
428,CCND1,1368
429,TTF2,1369
430,ZNF101,1381
431,RNF19A,1382
432,ZNF107,1387
433,SRSF3,1388
434,SUB1,1396
435,U2AF1,1397
436,CTBP1,1398
437,CEBPZ,1404
438,MMS19,1406
439,ING1,1412
440,ERCC8,1418
441,GTF2F2,1419
442,ECD,1424
443,UHRF1,1425
444,HIST1H1E,1426
445,ZNF300,1429
446,ELL2,1442
447,HDGF,1443
448,TRIM27,1445
