,TF,index
0,VDR,14
1,MLLT3,37
2,NR3C2,46
3,IRF8,66
4,KLF3,93
5,ZBTB20,109
6,NOTCH1,112
7,ELL2,121
8,RARB,138
9,NDN,156
10,HLF,170
11,HDAC7,172
12,XPC,174
13,PGR,188
14,MCM5,193
15,IRF6,200
16,PBX1,228
17,REL,236
18,SPI1,238
19,HNRNPAB,240
20,CD7,243
21,NFE2,276
22,HOXA9,281
23,MYCN,293
24,GATA2,342
25,KLF6,345
26,EYA2,363
27,SOX18,368
28,TRIB3,377
29,RUNX2,391
30,TSC22D3,399
31,MEIS1,419
32,YBX1,430
33,IKZF1,433
34,MECOM,453
35,MEF2C,456
36,MAML3,457
37,HNF4A,474
38,SATB1,486
39,CBFB,490
40,BTG2,491
41,GFI1B,504
42,RUNX1T1,524
43,RORA,527
44,PRDM16,532
45,NUPR1,534
46,HMGB2,535
47,ELF1,542
48,MCM7,548
49,ESR1,574
50,H1F0,587
51,TEAD2,596
52,NFIA,601
53,CTR9,602
54,DACH1,625
55,MYC,643
56,RAG2,646
57,FOXO1,654
58,XRCC6,658
59,MCM4,674
60,CBX7,675
