,TF,index
0,CREB3L2,2
1,FOXJ2,4
2,DEK,6
3,DEDD2,7
4,GRHL1,8
5,ETV7,9
6,PRDM1,10
7,ZNF202,11
8,SHOX,17
9,PER3,18
10,YBX1,20
11,HESX1,22
12,SRSF10,27
13,WDR5,32
14,SNRPB,34
15,ZNF165,40
16,RFXANK,41
17,SMAD2,42
18,ZNF238,44
19,ESRRG,45
20,ZNF107,46
21,NR0B1,47
22,HMGN2,49
23,ZBTB38,52
24,E2F4,54
25,NFYB,55
26,TCEA1,56
27,LMO3,58
28,TRPS1,60
29,SOS2,61
30,MECOM,62
31,SNAPC3,64
32,LDB2,70
33,ZNF398,71
34,POLR1C,73
35,JUND,76
36,BMP2,78
37,HMGA1,79
38,TFDP1,81
39,SRSF2,82
40,MXD4,83
41,SP100,84
42,RUVBL1,86
43,SP110,88
44,RNF19A,90
45,AFF1,91
46,UBTF,92
47,SOX17,93
48,ELK3,98
49,TP53,100
50,SETBP1,101
51,MCM3,103
52,CRABP2,104
53,RAI1,105
54,REL,106
55,ZFHX3,107
56,SMG6,109
57,EHMT2,111
58,RBMX,112
59,AIRE,115
60,ZBTB2,117
61,ELL2,119
62,DNMT3A,122
63,HDAC9,126
64,HAND2,127
65,PPARGC1B,128
66,GRHL2,130
67,NR3C1,131
68,TRIM27,132
69,POLR2H,134
70,PLAGL2,136
71,CDCA7L,138
72,CHAF1A,143
73,GCM1,146
74,RAD51,151
75,NPM1,154
76,SNAI2,156
77,LIN28A,157
78,FOXH1,159
79,SOX7,161
80,POLR2K,164
81,NCOA6,165
82,DNMT1,175
83,PRIC285,177
84,SUPT7L,179
85,SOX5,181
86,AES,184
87,PPARA,185
88,ETS1,186
89,GATA3,187
90,DDX54,189
91,NAA15,191
92,ZFPM2,192
93,FLI1,194
94,TFE3,195
95,EEF1A1,196
96,PBXIP1,202
97,ZKSCAN1,207
98,HAND1,211
99,NFIA,214
100,RORB,215
101,ASB9,216
102,DMBX1,218
103,RAI14,219
104,PBX1,220
105,RBFOX2,222
106,NFAT5,228
107,SATB1,230
108,SRC,236
109,SOX3,241
110,PARN,242
111,POLR1B,243
112,ZFP42,246
113,ETV1,252
114,ZNF219,254
115,ETV4,256
116,POU2F2,257
117,AIP,258
118,NONO,259
119,MEF2D,261
120,POU3F1,263
121,FUBP1,265
122,BRWD1,268
123,BCL11A,269
124,SSB,271
125,PARP1,275
126,EGR1,280
127,SFMBT1,281
128,ASB4,285
129,HIF1A,286
130,TRIM33,288
131,DNAJC2,290
132,SNAI1,291
133,ESPL1,292
134,BARX2,295
135,PITX2,297
136,TCF7L1,299
137,PAWR,302
138,TLE2,303
139,SIX6,304
140,TLR4,306
141,SALL3,309
142,TRIP13,312
143,MAPK10,314
144,JMJD1C,316
145,ZNF8,317
146,MAFF,318
147,EZH2,321
148,SOX13,323
149,NFKBIA,324
150,KAT6A,325
151,TRIM25,327
152,ZEB2,330
153,BMP4,333
154,GATAD2A,343
155,ZHX3,347
156,ZIC2,348
157,IRF1,349
158,HOXB4,351
159,CENPK,352
160,TRERF1,355
161,TFAP4,356
162,ID3,357
163,SRSF1,358
164,ARNT2,359
165,POU2AF1,360
166,HELZ,364
167,U2AF1,368
168,SHOX2,370
169,E2F7,371
170,POLR2D,372
171,ENO1,375
172,PURA,376
173,PSMD9,377
174,ZNF142,379
175,GTF3C4,380
176,WWP1,381
177,HOXB3,383
178,PATZ1,386
179,ZNF587,387
180,SALL2,390
181,RBPJ,391
182,FOXN3,393
183,SFPQ,396
184,AR,398
185,ZEB1,399
186,HCFC1,401
187,RAX2,402
188,SMARCD3,403
189,MAML3,405
190,SRSF3,406
191,RXRG,407
192,BHLHE40,408
193,HOPX,411
194,PHF17,413
195,ARID3A,416
196,GTF2H2,419
197,CNBP,420
198,SIRT1,422
199,MEIS1,424
200,DPF2,426
201,TFAP2A,430
202,MCM4,431
203,LEF1,433
204,ATF6,435
205,TCOF1,439
206,NFE2L3,442
207,ASXL1,444
208,ZNF589,445
209,CTNNB1,448
210,TBX3,450
211,EOMES,455
212,MCM6,456
213,GATA2,457
214,ATRX,458
215,HDGF,459
216,PGR,460
217,SAP18,461
218,PA2G4,462
219,NR2C1,463
220,SATB2,464
221,TRIP11,465
222,ZRANB2,469
223,RNPS1,470
224,PLAGL1,476
225,SLA2,477
226,SCD5,479
227,ELAVL2,487
228,NFATC1,488
229,NFATC3,491
230,SF1,492
231,LMX1B,493
232,WWTR1,498
233,SMAD6,500
234,KLF7,501
235,MKI67IP,503
236,ZNF764,504
237,MYBBP1A,505
238,SNRPD1,508
239,VHL,509
240,ZNF146,510
241,CRX,511
242,TWIST1,512
243,ETV3,513
244,CBFA2T2,515
245,ARID5B,516
246,ZNF585B,522
247,AFF4,523
248,HIST1H1B,524
249,HIF3A,528
250,XRCC5,529
251,SMARCC1,533
252,FUS,535
253,KLF5,538
254,CCND1,540
255,MIF,541
256,SUPT16H,545
257,POLR2G,546
258,SPIB,548
259,POU2F1,549
260,CSDE1,552
261,FXR1,554
262,NKX3-1,558
263,BTG2,560
264,MYCN,561
265,BMPR1A,563
266,KHDRBS2,564
267,ZNF83,566
268,MLL3,567
269,FOXD3,568
270,POLR2F,569
271,TLR7,570
272,UPF1,573
273,ZNF160,575
274,MAFG,576
275,NFKBIB,578
276,CBX3,579
277,TAF1L,583
278,EGF,586
279,SNAPC4,587
280,NRIP1,589
281,TGFB1,590
282,CITED2,597
283,NFIC,598
284,MCM7,601
285,ARID3B,602
286,ILF3,603
287,AEBP1,607
288,RBM14,608
289,PDCD11,610
290,EWSR1,612
291,SOX2,617
292,TEAD4,618
293,MCM2,626
294,TGFB1I1,629
295,RBBP4,632
296,ZIC3,635
297,ZNF24,636
298,BCLAF1,639
299,SMARCD1,642
300,HNRNPD,645
301,ASH2L,647
302,ALS2CR8,648
303,TRAF6,650
304,PDGFA,652
305,TRIM28,655
306,ZNF488,659
307,E2F3,661
308,HOXB7,663
309,MLLT3,664
310,POU5F1,668
311,RUVBL2,669
312,H1F0,670
313,TLE1,672
314,ZNF471,675
315,SRSF6,676
316,ARID4B,680
317,GATA6,686
318,ISL1,687
319,CALCOCO1,688
320,ID1,689
321,SOX4,692
322,FOXF1,693
323,BTF3,695
324,NHLH2,697
325,ANKRD6,699
326,HOXB6,701
327,SMAD5,704
328,TRIP6,705
329,GSC,706
330,PHF21A,709
331,DACH1,712
332,HNRNPAB,714
333,MDM4,718
334,IFI16,720
335,FOXK1,722
336,KLF8,726
337,KLF6,729
338,MEIS2,732
339,YAF2,733
340,STAT3,737
341,APBB1,738
342,MCM5,740
343,HLX,741
344,KHSRP,745
345,TCF4,748
346,PRDM14,749
347,PSIP1,750
348,BCL11B,752
349,SERTAD2,753
350,TMF1,754
351,STAT2,759
352,CREB3L4,772
353,XRCC6,773
354,POLR2A,775
355,CTBP1,776
356,TRIM22,778
357,TBX20,780
358,LIMD1,783
359,CNTRL,788
360,MED14,789
361,ANKRD1,790
362,ILF2,792
363,ANKZF1,794
364,MYBL2,798
365,DAXX,799
366,MED16,804
367,ZNF239,807
368,UPF2,816
369,FOXP1,817
370,KAT7,820
371,RARG,822
372,MYOCD,823
373,MLLT6,827
374,CEBPZ,833
375,TLE3,834
376,DNMT3B,835
377,CSRP2,838
378,HOXB2,841
379,MSX1,848
380,DAB2,850
381,APEX1,852
382,MITF,854
383,PHB2,856
384,TCF19,857
385,POLR1A,862
386,CXXC1,863
387,LMO2,866
388,CUX1,871
389,OTX2,874
390,PTMA,875
391,LHX1,877
392,APC,878
393,GATA4,879
394,RUNX1,880
395,HNRNPK,881
396,ALYREF,882
397,APBB2,887
398,NANOG,890
399,POLR3E,892
400,CIITA,894
401,POLR2I,895
402,LZTS1,897
403,NFIB,898
404,RNF14,899
405,TEAD1,900
406,SKIL,902
407,FOXJ1,904
408,MXI1,906
409,UHRF1,909
