,TF,index
0,ABL1,2
1,GTF2F1,7
2,VDR,10
3,RPA1,12
4,IRF8,25
5,IRF6,42
6,WDR5,55
7,MEIS1,72
8,NDN,79
9,H1F0,84
10,PA2G4,96
11,PBX1,99
12,TTF2,109
13,PRDM16,124
14,IRF9,125
15,HNRNPAB,127
16,SLA2,138
17,LMO4,142
18,MYC,146
19,RNF4,155
20,MAML3,163
21,TLR4,168
22,LZTS1,172
23,NFE2,182
24,ZDHHC13,183
25,HDGF,185
26,HIF3A,197
27,HCFC1,204
28,PHB2,212
29,ELP2,218
30,HMGB2,222
31,TRPS1,224
32,ATF7,236
33,ZFP36,267
34,MCM2,269
35,SALL2,291
36,E2F4,343
37,EYA2,349
38,RUVBL2,350
39,SPI1,358
40,RB1,361
41,TEAD2,364
42,MECOM,380
43,CREB5,383
44,RARB,385
45,MCM5,388
46,MLLT3,392
47,TCF19,406
48,PHF10,411
49,HLF,417
50,KLF6,420
51,CTR9,427
52,SMARCA2,437
53,RPA2,442
54,IRF7,458
55,RORA,459
56,DEK,461
57,NAP1L3,463
58,APBB1,472
59,MIS18BP1,476
60,SNRPB,478
61,JARID2,519
62,NUPR1,524
63,BATF2,530
64,E2F8,533
65,DDX58,542
66,ARID3B,549
67,SPO11,568
68,EGR1,579
69,SRSF1,581
70,ERCC8,583
71,MYCN,585
72,RELB,600
73,MYB,601
74,JUN,604
75,ZDHHC6,610
76,RAD21,613
77,NFATC2,618
78,SOX18,621
79,HDAC2,635
80,ZFP467,662
81,BTG2,698
82,NFIA,701
83,TAF12,726
84,TOPORS,729
85,TSC22D3,736
86,HDAC7,747
87,ZBTB16,776
88,XRCC3,783
89,POLR2B,786
90,FEM1B,802
91,STAT2,803
92,NR3C2,813
93,MXD3,816
94,SATB1,820
95,BTAF1,821
96,EPAS1,830
97,GATA2,838
98,ZBTB38,856
99,RORC,859
100,CENPK,864
101,RUNX1T1,866
102,ORC2,872
103,NFKBIA,885
104,TLE2,888
105,HDAC11,889
106,GFI1B,896
107,MCM7,924
108,DDX20,928
109,MCM3,932
110,IKZF1,934
111,XRCC6,936
112,POLR1B,937
113,RAD51,951
114,XPC,952
115,CBX7,980
116,ZEB2,990
117,MCM4,996
118,EBF1,1004
119,NFAT5,1030
120,MAPK1,1036
121,MAPK12,1038
122,REXO4,1046
123,ZBTB20,1049
124,GTF2H1,1056
125,ELF1,1057
126,CBFB,1058
127,YBX1,1069
128,TRIB3,1071
129,RPS6KA5,1081
130,FOXO1,1083
131,CSRP3,1084
132,MED16,1098
133,PLAG1,1100
134,MCM6,1119
135,REL,1122
